no,text
292,"과학관에 와이파이가 안됩니다. 
기초수급 복지관련해서 학생처 갔는데 저랑 같은 교양듣는 또래가 관리하더라구요 
제 친구도 지원했는데 걘 심지어 우리과애가 서류를 직접 받았더라구요 
진짜 너무 화나고 말도안된다생각합니다 
저의 개인정본데 그렇게 국가근로 또래한테 맡길정도로 일손이 부족합니까? 그런거는 다른분이 받아서 학생 개인정보 보호하는게당연한거아닌가요? 그냥 학생입장에서 생각을 전혀안하는거같습니다. 
그리고 휴게실 만든건 좋았습니다. 당연히 있어야합니다. 공강이나 쉬는시간에 학생들은 멀뚱히 서있어야하니까요. 근데 열람실을 없애고 만듭니까?.. 학교 학생들이 발전하기를 원하면 공부를 할수있는 환경을 만들어주세요.  인서울 대학교 열람실 네이버에 한번만 쳐보세요 우리학교 열람실은 그냥 방음도 전혀안되고 춥고 스탠드도없고 그냥 책상 의자 띡 두고 끝입니다 .. 제가다니는 교회도안이래요 . 과학관애들도 쉴곳이없어요 고작 의자 여덟개정도있는 그 곳이요?  그리고 교양 제과제빵 상대평가가 뭡니까? 당연히 절대 평가아닌가요? 
그리고 축구부 똑바로 해명하길바라요 기독교학교가 이러면 안됩니다. 학생들 상대로 죄짓지마세요 . 그리고 망할 운동장에 차좀빼세요 . 주차장 도서관쪽 거기에 주차하던지 과학관밑에 주차라라던지하세요 없으면 만드세요. 위에공간있잖아요.운동장없는학교가대체 어딨습니까;; ? 망할 차들 싹다 치우고 거기에 ㅅ앉아서 쉴곳을 만들어주세요 . "
293,"한성심교수 수업 남녀 차별있음
주차관리 하시는 분  너무 불친철"
297,교내 여러가지 행정적인 문제로 인해 우리학교는 발전가능성이 적어 대학평가에서 낮은등급을 받고있습니다. 서울에 있다는 큰 장점이 있음에도 지방대보다 인지도가 떨어집니다. 혹시 폐교되진 않을까라는 불안감에 재학생도 신입생도 학교에 대한 불신이 큽니다. 재학생들과 소통하며 KC대학교를 많이 홍보하고 계속 성장하는 모습을 보여준다면 학교발전에 도움이될것같습니다.
299,"일체형 책걸상 너무 불편합니다, 종학대학으로 바뀌엇지만 채플이수학기가 너무 많습니다, 기독교에 대한 수업이 필수교양이지않았으면 좋겠습니다."
309,직원분들께 문의할 때 직원분들은 학생들의 마음을 한 번 더 헤아려주신 뒤 행동하거나 말씀해주셨으면 좋겠습니다.
312,"강의실 내 냉난방 개선, 내년 도서관 감사 대비"
313,신학부 축구단 해명이나 대학등록금이 어디로 새는지 진상규명좀 해주세요
319,시설 개선
320,민주적인 과정을 거친 결과
324,강서대학교 교명 변경 
327,학교 휴게실과 열람실 개선
328,"도서관,운동장이 빠르게 개선되었으면 좋겠습니다."
329,학교직원들이 학생들 뒷담화해요. 진짜 심각합니다. 그리고 교목실 분들이 학생들한테 소리지르고 진짜 예의없어요. 학생이라고 무시합니다 엄청나게요. 
